,no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,bookImageURL,bookDtlUrl
158,159,159,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스 미디어그룹,2016,9791190630184,67400,13,408,"자연과학 > 자연과학 > 전집, 총서",3589,https://image.aladin.co.kr/product/23416/73/cover/k962638285_1.jpg, https://data4library.kr/bookV?seq=5601705
159,160,160,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,9788950997717,77720,52,711.4,"언어 > 한국어 > 음운, 음성, 문자",3588,https://image.aladin.co.kr/product/28527/35/cover/8950997711_1.jpg, https://data4library.kr/bookV?seq=6365158
160,161,161,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,9788950977405,74900,4,980.2,역사 > 지리 > 지리,3582,https://image.aladin.co.kr/product/16831/53/cover/8950977400_1.jpg, https://data4library.kr/bookV?seq=3902011
161,162,162,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,9788950976118,74900,3,980.2,역사 > 지리 > 지리,3568,https://image.aladin.co.kr/product/15220/17/cover/8950976110_1.jpg, https://data4library.kr/bookV?seq=3788041
162,163,163,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,9788950993153,77720,50,711.4,"언어 > 한국어 > 음운, 음성, 문자",3560,https://image.aladin.co.kr/product/26192/73/cover/8950993155_1.jpg, https://data4library.kr/bookV?seq=5852314
163,164,164,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스 미디어그룹,2016,9791190305310,67400,12,408,"자연과학 > 자연과학 > 전집, 총서",3559,https://image.aladin.co.kr/product/21502/77/cover/k742636192_1.jpg, https://data4library.kr/bookV?seq=5516991
164,165,165,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,9788950980214,74900,7,980.2,역사 > 지리 > 지리,3558,https://image.aladin.co.kr/product/18740/97/cover/8950980215_1.jpg, https://data4library.kr/bookV?seq=5384091
165,166,166,아홉 살 마음 사전,박성우 글 ;김효은 그림,창비,2017,9788936447014,73710,,181,철학 > 심리학 > 각론,3557,http://image.aladin.co.kr/product/10537/49/cover/8936447017_1.jpg, https://data4library.kr/bookV?seq=3421838
166,167,167,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,9788950998707,74900,23,980.2,역사 > 지리 > 지리,3556,https://image.aladin.co.kr/product/28958/24/cover/895099870x_1.jpg, https://data4library.kr/bookV?seq=6410183
167,168,168,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,9788950995034,74900,20,980.2,역사 > 지리 > 지리,3553,https://image.aladin.co.kr/product/27182/42/cover/8950995034_1.jpg, https://data4library.kr/bookV?seq=5985627
168,169,169,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스 미디어그룹,2016,9791190182737,67400,11,408,"자연과학 > 자연과학 > 전집, 총서",3546,https://image.aladin.co.kr/product/19973/36/cover/k292635940_1.jpg, https://data4library.kr/bookV?seq=5453374
169,170,170,세계를 건너 너에게 갈게 :이꽃님 장편소설,글쓴이: 이꽃님,문학동네,2018,9788954650212,03810,,813.7,문학 > 한국문학 > 소설,3545,https://bookthumb-phinf.pstatic.net/cover/133/146/13314689.jpg?type=m1&udate=20180330, https://data4library.kr/bookV?seq=3699193
170,171,171,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,9788950900236,74900,24,980.2,역사 > 지리 > 지리,3533,https://image.aladin.co.kr/product/29529/16/cover/8950900238_1.jpg, https://data4library.kr/bookV?seq=6468430
171,172,172,위풍당당 여우 꼬리,손원평 글 ;만물상 그림,창비,2021,9788936448264,74810,3,813.7,문학 > 한국문학 > 소설,3532,https://image.aladin.co.kr/product/30178/38/cover/8936448269_1.jpg, https://data4library.kr/bookV?seq=6563261
172,173,173,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,9788950992835,74900,17,980.2,역사 > 지리 > 지리,3520,https://image.aladin.co.kr/product/25684/1/cover/8950992833_1.jpg, https://data4library.kr/bookV?seq=5818560
173,174,174,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,9788950973353,74900,1,980.2,역사 > 지리 > 지리,3501,https://bookthumb-phinf.pstatic.net/cover/132/700/13270005.jpg?type=m1&udate=20180406, https://data4library.kr/bookV?seq=3695133
174,175,175,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,9788950974329,74900,2,980.2,역사 > 지리 > 지리,3491,https://bookthumb-phinf.pstatic.net/cover/134/954/13495493.jpg?type=m1&udate=20180411, https://data4library.kr/bookV?seq=3734987
175,176,175,외사랑,저자: 히가시노 게이고 ;옮긴이: 민경욱,소미미디어,2022,9791138413251,03830,,833.6,문학 > 일본문학 > 소설,3491,https://image.aladin.co.kr/product/30149/75/cover/k642839488_1.jpg, https://data4library.kr/bookV?seq=6561640
176,177,177,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,9788950991722,74900,16,980.2,역사 > 지리 > 지리,3483,https://image.aladin.co.kr/product/25169/0/cover/8950991721_1.jpg, https://data4library.kr/bookV?seq=5770451
