,no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,bookImageURL,bookDtlUrl
25,26,26,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791168412477,77810,11,810,문학 > 한국문학 > 한국문학,5542,https://image.aladin.co.kr/product/29832/74/cover/k652838723_1.jpg, https://data4library.kr/bookV?seq=6525944
26,27,27,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9791164064410,74830,15,833.6,문학 > 일본문학 > 소설,5468,https://image.aladin.co.kr/product/29734/44/cover/k662838597_1.jpg, https://data4library.kr/bookV?seq=6497886
27,28,28,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키 지음 ;권영주 옮김,바이포엠,2021,9791191043297,03830,,833.6,문학 > 일본문학 > 소설,5425,https://image.aladin.co.kr/product/27407/79/cover/k362732558_1.jpg, https://data4library.kr/bookV?seq=6036502
28,29,29,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9791164060481,74830,1,833.6,문학 > 일본문학 > 소설,5346,https://image.aladin.co.kr/product/19610/47/cover/k282635522_1.jpg, https://data4library.kr/bookV?seq=5439175
29,30,30,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,9788936447694,74810,1,813.7,문학 > 한국문학 > 소설,5253,https://image.aladin.co.kr/product/23651/80/cover/8936447696_1.jpg, https://data4library.kr/bookV?seq=5642562
30,31,31,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,9791164136032,77400,1,400,자연과학 > 자연과학 > 자연과학,5201,https://image.aladin.co.kr/product/25055/39/cover/k002632646_1.jpg, https://data4library.kr/bookV?seq=5748423
31,32,32,나미야 잡화점의 기적 :히가시노 게이고 장편소설,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2012,9788972756194,03830,,833.6,문학 > 일본문학 > 소설,5196,http://image.aladin.co.kr/product/15848/6/cover/k622533431_1.jpg, https://data4library.kr/bookV?seq=1902173
32,33,33,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9791164064243,74830,14,833.6,문학 > 일본문학 > 소설,5155,https://image.aladin.co.kr/product/29281/75/cover/k482837904_1.jpg, https://data4library.kr/bookV?seq=6446084
33,34,34,지구 끝의 온실 :김초엽 장편소설,지은이: 김초엽,Giant Books(자이언트북스),2021,9791191824001,03810,,813.7,문학 > 한국문학 > 소설,5126,https://image.aladin.co.kr/product/27692/63/cover/k082733434_1.jpg, https://data4library.kr/bookV?seq=6065686
34,35,35,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,9791164138982,77400,4,400,자연과학 > 자연과학 > 자연과학,5086,https://image.aladin.co.kr/product/27892/11/cover/k652734308_1.jpg, https://data4library.kr/bookV?seq=6088288
35,36,36,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,9791164137053,74830,10,833.6,문학 > 일본문학 > 소설,5078,https://image.aladin.co.kr/product/25801/42/cover/k252736232_1.jpg, https://data4library.kr/bookV?seq=5827187
36,37,37,흔한남매 과학 탐험대,원작: 흔한남매 ;그림: 김덕영,김영사,2021,9788934980254,77400,2,400,자연과학 > 자연과학 > 자연과학,5061,https://image.aladin.co.kr/product/27876/47/cover/8934980257_1.jpg, https://data4library.kr/bookV?seq=6086449
37,38,38,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,9791164137121,77400,2,400,자연과학 > 자연과학 > 자연과학,5054,https://image.aladin.co.kr/product/25812/8/cover/k352736335_1.jpg, https://data4library.kr/bookV?seq=5833702
38,39,39,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,9791164137923,77400,3,400,자연과학 > 자연과학 > 자연과학,5034,https://image.aladin.co.kr/product/27025/25/cover/k542730528_2.jpg, https://data4library.kr/bookV?seq=5967314
39,40,40,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,9788936447861,74810,2,813.7,문학 > 한국문학 > 소설,5028,https://image.aladin.co.kr/product/24790/61/cover/8936447866_1.jpg, https://data4library.kr/bookV?seq=5784086
40,41,41,흔한남매 과학 탐험대,원작: 흔한남매 ;그림: 김덕영,김영사,2021,9788934989257,77400,1,400,자연과학 > 자연과학 > 자연과학,5007,https://image.aladin.co.kr/product/27081/54/cover/s542731834_1.jpg, https://data4library.kr/bookV?seq=5970627
41,42,42,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9791195794799,74910,1,911,역사 > 아시아(아세아) > 한국,5001,http://image.aladin.co.kr/product/10016/32/cover/k512536564_2.jpg, https://data4library.kr/bookV?seq=3405847
42,43,43,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,지은이: 김승호,Snowfox(스노우폭스북스),2020,9791188331796,03320,,327.04,사회과학 > 경제학 > 금융,4977,https://image.aladin.co.kr/product/24191/64/cover/k562639753_1.jpg, https://data4library.kr/bookV?seq=5678862
43,44,44,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,9788936448011,74810,3,813.7,문학 > 한국문학 > 소설,4964,https://image.aladin.co.kr/product/25967/84/cover/8936448013_2.jpg, https://data4library.kr/bookV?seq=5996157
44,45,44,미드나잇 라이브러리,매트 헤이그 지음 ;노진선 옮김,인플루엔셜,2021,9791191056556,03840,,843.6,문학 > 영미문학 > 소설,4964,https://image.aladin.co.kr/product/26987/37/cover/k962730610_1.jpg, https://data4library.kr/bookV?seq=5965665
45,46,46,완전한 행복 :정유정 장편소설,지은이: 정유정,은행나무,2021,9791167370280,03810,,813.7,문학 > 한국문학 > 소설,4941,https://image.aladin.co.kr/product/27225/29/cover/k432732398_2.jpg, https://data4library.kr/bookV?seq=5987427
46,47,47,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9791164060498,74830,2,833.6,문학 > 일본문학 > 소설,4930,https://image.aladin.co.kr/product/19612/74/cover/k772635522_1.jpg, https://data4library.kr/bookV?seq=5439173
47,48,48,세상의 마지막 기차역,무라세 다케시 지음 ;김지연 옮김,바이포엠 스튜디오,2022,9791191043754,03830,,833.6,문학 > 일본문학 > 소설,4922,https://image.aladin.co.kr/product/29442/51/cover/k762837520_1.jpg, https://data4library.kr/bookV?seq=6460241
48,49,49,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,9788936448134,74810,4,813.7,문학 > 한국문학 > 소설,4904,https://image.aladin.co.kr/product/28612/9/cover/8936448137_1.jpg, https://data4library.kr/bookV?seq=6378029
49,50,50,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,9791164134090,74830,9,833.6,문학 > 일본문학 > 소설,4853,https://image.aladin.co.kr/product/22712/95/cover/k102636135_1.jpg, https://data4library.kr/bookV?seq=5581788
50,51,51,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9791164060931,74830,3,833.6,문학 > 일본문학 > 소설,4808,https://image.aladin.co.kr/product/21439/64/cover/k142636199_1.jpg, https://data4library.kr/bookV?seq=5518312
51,52,52,책들의 부엌 :김지혜 장편소설,지은이: 김지혜,팩토리나인,2022,9791165345204,03810,,813.7,문학 > 한국문학 > 소설,4795,https://image.aladin.co.kr/product/29403/8/cover/k162837610_1.jpg, https://data4library.kr/bookV?seq=6455241
52,53,53,흔한남매 불꽃 튀는 우리말 1 - 초등 국어 고수 되기 프로젝트,흔한남매 (원작)|한은호,다산어린이,2021,9791130635712,,1,,,4790,https://bookthumb-phinf.pstatic.net/cover/180/044/18004469.jpg?type=m1&udate=20210218, https://data4library.kr/bookV?seq=5918291
53,54,54,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9791164064281,74830,13,833.6,문학 > 일본문학 > 소설,4778,https://image.aladin.co.kr/product/28689/95/cover/k332836361_1.jpg, https://data4library.kr/bookV?seq=6390351
54,55,55,체리새우 :황영미 장편소설,지은이: 황영미,문학동네,2019,9788954654753,03810,,813.7,문학 > 한국문학 > 소설,4745,https://image.aladin.co.kr/product/17970/0/cover/8954654754_1.jpg, https://data4library.kr/bookV?seq=5359157
55,56,56,흔한남매 과학 탐험대 4 : 물질,"흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 최진수 (감수), 정현철, 김희목, 권경아, 최진수 (기획)",주니어김영사,2022,9788934930549,,4,,,4744,https://image.aladin.co.kr/product/28932/34/cover/8934930543_1.jpg, https://data4library.kr/bookV?seq=6408666
56,57,57,흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,원작: 흔한남매 ;그림: 유희석,다산북스,2021,9791130637594,77700,2,710,언어 > 한국어 > 한국어,4702,https://image.aladin.co.kr/product/27144/52/cover/k372731447_1.jpg, https://data4library.kr/bookV?seq=5982308
57,58,58,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9791164063956,74830,12,833.6,문학 > 일본문학 > 소설,4687,https://image.aladin.co.kr/product/28289/35/cover/k662835995_2.jpg, https://data4library.kr/bookV?seq=6333606
58,59,59,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,9791168410848,77400,5,400,자연과학 > 자연과학 > 자연과학,4676,https://image.aladin.co.kr/product/28736/69/cover/k332836780_1.jpg, https://data4library.kr/bookV?seq=6393114
59,60,60,이토록 평범한 미래 :김연수 소설,지은이: 김연수,문학동네,2022,9788954680004,03810,,813.62,문학 > 한국문학 > 소설,4638,https://image.aladin.co.kr/product/30211/80/cover/8954680003_1.jpg, https://data4library.kr/bookV?seq=6567245
60,61,61,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,9791162339466,74830,7,833.6,문학 > 일본문학 > 소설,4621,https://image.aladin.co.kr/product/17457/14/cover/k792534209_1.jpg, https://data4library.kr/bookV?seq=5245643
61,62,62,흔한남매 과학 탐험대 3 : 인체,"흔한남매 (원작), 이재국, 이현진, 서지은 (글), 김덕영 (그림), 정현철, 김희목, 권경아, 최진수, 박준건 (기획)",주니어김영사,2021,9788934983439,,3,,,4603,https://image.aladin.co.kr/product/28386/25/cover/8934983434_1.jpg, https://data4library.kr/bookV?seq=6345379
62,63,63,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,9791168411852,77400,6,400,자연과학 > 자연과학 > 자연과학,4564,https://image.aladin.co.kr/product/29541/3/cover/k292837956_1.jpg, https://data4library.kr/bookV?seq=6469920
63,64,64,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9791164060948,74830,4,833.6,문학 > 일본문학 > 소설,4554,https://image.aladin.co.kr/product/21439/72/cover/k272636199_1.jpg, https://data4library.kr/bookV?seq=5518313
64,65,65,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9791196025809,74910,2,911,역사 > 아시아(아세아) > 한국,4543,http://image.aladin.co.kr/product/10227/84/cover/k782536886_2.jpg, https://data4library.kr/bookV?seq=3412785
65,66,66,흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,원작: 흔한남매 ;그림: 유희석,다산북스,2021,9791130640280,77700,3,710,언어 > 한국어 > 한국어,4521,https://image.aladin.co.kr/product/27833/74/cover/k162734674_1.jpg, https://data4library.kr/bookV?seq=6084991
66,67,67,"시선으로부터, :정세랑 장편소설",지은이: 정세랑,문학동네,2020,9788954672214,03810,,813.7,문학 > 한국문학 > 소설,4508,https://image.aladin.co.kr/product/24131/37/cover/8954672213_1.jpg, https://data4library.kr/bookV?seq=5674475
67,68,68,오싹오싹 크레용!,글: 에런 레이놀즈 ;옮김: 홍연미,토토북,2022,9788964964767,77840,,843,문학 > 영미문학 > 소설,4495,https://image.aladin.co.kr/product/30021/16/cover/8964964764_1.jpg, https://data4library.kr/bookV?seq=6548001
68,69,69,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9791164063581,74830,10,833.6,문학 > 일본문학 > 소설,4482,https://image.aladin.co.kr/product/26602/10/cover/k742739914_1.jpg, https://data4library.kr/bookV?seq=5930484
69,70,70,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,9791164131914,74830,8,833.6,문학 > 일본문학 > 소설,4461,https://image.aladin.co.kr/product/19874/27/cover/k432635431_1.jpg, https://data4library.kr/bookV?seq=5448424
70,71,71,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,슈크림북,2021,9791190409124,74810,1,813.7,문학 > 한국문학 > 소설,4458,https://image.aladin.co.kr/product/27982/44/cover/k832734228_1.jpg, https://data4library.kr/bookV?seq=6307324
71,72,72,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9791164062065,74830,5,833.6,문학 > 일본문학 > 소설,4443,https://image.aladin.co.kr/product/23450/15/cover/k522638585_1.jpg, https://data4library.kr/bookV?seq=5609753
72,73,73,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,슈크림북,2021,9791190409148,74810,3,813.7,문학 > 한국문학 > 소설,4440,https://image.aladin.co.kr/product/29321/37/cover/k362837717_1.jpg, https://data4library.kr/bookV?seq=6450284
73,74,74,(흔한남매) 안 흔한 일기,흔한남매 원작 ;조병주 그림,미래엔,2020,9791164134649,74810,1,816.7,"문학 > 한국문학 > 일기, 서간, 기행",4428,https://image.aladin.co.kr/product/23331/23/cover/k012637918_1.jpg, https://data4library.kr/bookV?seq=5595543
74,75,75,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,9791168411029,77490,6,472,자연과학 > 생물과학 > 생물학,4421,https://image.aladin.co.kr/product/28974/55/cover/k902836928_1.jpg, https://data4library.kr/bookV?seq=6415971
75,76,76,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9791164063734,74830,11,833.6,문학 > 일본문학 > 소설,4420,https://image.aladin.co.kr/product/27494/71/cover/k822733993_1.jpg, https://data4library.kr/bookV?seq=6042381
76,77,77,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,9791164136438,77490,2,472,자연과학 > 생물과학 > 생물학,4395,https://image.aladin.co.kr/product/25493/95/cover/k372633927_1.jpg, https://data4library.kr/bookV?seq=5793071
77,78,77,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설,지은이: 김초엽,허블,2019,9791190090018,03810,,813.7,문학 > 한국문학 > 소설,4395,https://image.aladin.co.kr/product/19359/16/cover/s972635417_1.jpg, https://data4library.kr/bookV?seq=5430429
78,79,79,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9791165382940,74910,17,911,역사 > 아시아(아세아) > 한국,4370,https://image.aladin.co.kr/product/27426/6/cover/k602733272_1.jpg, https://data4library.kr/bookV?seq=6037961
79,80,80,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,9791164138425,77490,4,472,자연과학 > 생물과학 > 생물학,4368,https://image.aladin.co.kr/product/27643/74/cover/k052733229_1.jpg, https://data4library.kr/bookV?seq=6063450
80,81,81,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,슈크림북,2021,9791190409131,74810,2,813.7,문학 > 한국문학 > 소설,4360,https://image.aladin.co.kr/product/28393/27/cover/k592835817_1.jpg, https://data4library.kr/bookV?seq=6346812
81,82,82,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9791164062072,74830,6,833.6,문학 > 일본문학 > 소설,4347,https://image.aladin.co.kr/product/23450/17/cover/k692638585_1.jpg, https://data4library.kr/bookV?seq=5609754
82,83,83,튜브 :손원평 장편소설,지은이: 손원평,창비,2022,9788936434625,03810,,813.7,문학 > 한국문학 > 소설,4327,https://image.aladin.co.kr/product/29807/65/cover/8936434624_1.jpg, https://data4library.kr/bookV?seq=6519670
83,84,84,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,9791164137435,77490,3,472,자연과학 > 생물과학 > 생물학,4302,https://image.aladin.co.kr/product/26236/31/cover/k012738287_1.jpg, https://data4library.kr/bookV?seq=5855035
84,85,85,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,9791164139750,77490,5,472,자연과학 > 생물과학 > 생물학,4281,https://image.aladin.co.kr/product/28259/9/cover/k882835381_1.jpg, https://data4library.kr/bookV?seq=6331219
85,86,86,(흔한남매) 안 흔한 일기,흔한남매 원작 ;조병주 그림,미래엔,2020,9791164135158,74810,2,816.7,"문학 > 한국문학 > 일기, 서간, 기행",4277,https://image.aladin.co.kr/product/24050/77/cover/k252639625_1.jpg, https://data4library.kr/bookV?seq=5669599
86,87,87,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9791196025847,74910,3,911,역사 > 아시아(아세아) > 한국,4275,http://image.aladin.co.kr/product/10780/17/cover/k342530155_2.jpg, https://data4library.kr/bookV?seq=3431411
87,88,88,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,제임스 클리어 지음 ;이한이 옮김,비즈니스북스,2019,9791162540640,03190,,181.845,철학 > 심리학 > 각론,4273,https://image.aladin.co.kr/product/18228/51/cover/k832534441_1.jpg, https://data4library.kr/bookV?seq=5368180
88,89,89,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9791164062898,74830,9,833.6,문학 > 일본문학 > 소설,4269,https://image.aladin.co.kr/product/25732/47/cover/k092736875_1.jpg, https://data4library.kr/bookV?seq=5823468
89,90,90,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,9791168412248,74810,1,813.5,문학 > 한국문학 > 소설,4267,https://image.aladin.co.kr/product/29683/83/cover/k122838384_1.jpg, https://data4library.kr/bookV?seq=6489268
90,91,91,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,9788937848247,74830,4,833.6,문학 > 일본문학 > 소설,4255,https://bookthumb-phinf.pstatic.net/cover/124/953/12495377.jpg?type=m1&udate=20170829, https://data4library.kr/bookV?seq=3541426
91,92,92,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,9791164135738,77490,1,472,자연과학 > 생물과학 > 생물학,4251,https://image.aladin.co.kr/product/24605/89/cover/k652631174_1.jpg, https://data4library.kr/bookV?seq=5708913
92,93,93,추리 천재 엉덩이 탐정 5 - 유적에서 날아온 SOS 사건,트롤,아이세움,2017,9791162332542,74830,5,833.8,문학 > 일본문학 > 소설,4242,https://bookthumb-phinf.pstatic.net/cover/129/756/12975600.jpg?type=m1&udate=20180126, https://data4library.kr/bookV?seq=3676788
93,94,94,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",지은이: 유발 하라리 ;옮긴이: 조현욱,김영사,2015,9788934972464,03900,,909,"역사 > 역사 > 세계사, 세계문화사",4234,https://bookthumb-phinf.pstatic.net/cover/097/807/09780781.jpg?type=m1&udate=20180721, https://data4library.kr/bookV?seq=3027835
94,95,95,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9791164062270,74830,7,833.6,문학 > 일본문학 > 소설,4222,https://image.aladin.co.kr/product/24394/32/cover/k412630313_1.jpg, https://data4library.kr/bookV?seq=5699900
95,96,96,이어령의 마지막 수업,김지수 지음,열림원,2021,9791170400523,03100,,199.1,"철학 > 윤리학, 도덕철학 > 도덕훈, 교훈",4217,https://image.aladin.co.kr/product/28212/10/cover/k762835176_2.jpg, https://data4library.kr/bookV?seq=6326227
96,97,97,흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,원작: 흔한남매 ;그림: 유희석,다산북스,2021,9791130641607,77700,4,710,언어 > 한국어 > 한국어,4216,https://image.aladin.co.kr/product/28344/0/cover/k342835103_1.jpg, https://data4library.kr/bookV?seq=6339841
97,98,98,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9791188874262,74910,9,911,역사 > 아시아(아세아) > 한국,4205,https://image.aladin.co.kr/product/17950/14/cover/k552534233_1.jpg, https://data4library.kr/bookV?seq=5357472
98,99,99,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,9791162335123,74830,6,833.6,문학 > 일본문학 > 소설,4191,https://bookthumb-phinf.pstatic.net/cover/135/613/13561388.jpg?type=m1&udate=20180619, https://data4library.kr/bookV?seq=3746485
99,100,100,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,9791191496604,74910,22,911,역사 > 아시아(아세아) > 한국,4185,https://image.aladin.co.kr/product/30046/55/cover/k442839462_1.jpg, https://data4library.kr/bookV?seq=6551965
100,101,101,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,9788937889714,74830,3,833.6,문학 > 일본문학 > 소설,4184,http://image.aladin.co.kr/product/10644/93/cover/8937889714_1.jpg, https://data4library.kr/bookV?seq=3425818
101,102,102,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9791196025861,74910,4,911,역사 > 아시아(아세아) > 한국,4167,https://bookthumb-phinf.pstatic.net/cover/124/438/12443866.jpg?type=m1&udate=20170818, https://data4library.kr/bookV?seq=3536732
102,103,103,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,9791191496208,74910,21,911,역사 > 아시아(아세아) > 한국,4164,https://image.aladin.co.kr/product/29546/35/cover/k192837057_1.jpg, https://data4library.kr/bookV?seq=6470952
103,104,104,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,9791168412279,77490,7,472,자연과학 > 생물과학 > 생물학,4163,https://image.aladin.co.kr/product/29691/86/cover/k742838586_1.jpg, https://data4library.kr/bookV?seq=6491579
104,105,105,흔한남매 과학 탐험대 5 : 물리 1,"흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 김희목 (감수), 김희목, 정현철, 권경아, 최진수 (기획)",주니어김영사,2022,9788934940753,,5,,,4154,https://image.aladin.co.kr/product/29615/64/cover/8934940751_1.jpg, https://data4library.kr/bookV?seq=6477919
105,106,106,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9791196232160,74910,5,911,역사 > 아시아(아세아) > 한국,4141,https://image.aladin.co.kr/product/12455/35/cover/k282532761_1.jpg, https://data4library.kr/bookV?seq=3665736
106,107,107,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,9788937838750,74830,1,833.6,문학 > 일본문학 > 소설,4127,http://image.aladin.co.kr/product/8920/23/cover/8937838753_1.jpg, https://data4library.kr/bookV?seq=3272507
107,108,108,가재가 노래하는 곳 :델리아 오언스 장편소설,지은이: 델리아 오언스 ;옮긴이: 김선형,살림출판사,2019,9788952240569,03840,,843.6,문학 > 영미문학 > 소설,4109,https://image.aladin.co.kr/product/19469/77/cover/8952240561_2.jpg, https://data4library.kr/bookV?seq=5429697
108,109,109,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9791164062287,74830,8,833.6,문학 > 일본문학 > 소설,4108,https://image.aladin.co.kr/product/25020/81/cover/k782632928_1.jpg, https://data4library.kr/bookV?seq=5746636
109,110,110,내가 틀릴 수도 있습니다 =숲속의 현자가 전하는 마지막 인생수업 /I may be wrong,비욘 나티코 린데블라드 지음 ;박미경 옮김,다산북스,2022,9791130689890,03100,,220.4,종교 > 불교 > 불교,4101,https://image.aladin.co.kr/product/29269/12/cover/k822837807_1.jpg, https://data4library.kr/bookV?seq=6445483
110,111,111,긴긴밤,루리 글·그림,문학동네,2021,9788954677158,73810,,813.7,문학 > 한국문학 > 소설,4097,https://image.aladin.co.kr/product/26302/71/cover/8954677150_1.jpg, https://data4library.kr/bookV?seq=5857188
111,112,112,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,9788937853470,74830,2,833.6,문학 > 일본문학 > 소설,4078,https://bookthumb-phinf.pstatic.net/cover/113/327/11332741.jpg?type=m1&udate=20161209, https://data4library.kr/bookV?seq=3392650
112,113,113,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9791165382841,74910,16,911,역사 > 아시아(아세아) > 한국,4047,https://image.aladin.co.kr/product/26651/26/cover/k962739334_1.jpg, https://data4library.kr/bookV?seq=5938620
113,114,114,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,9791168413931,77400,7,400,자연과학 > 자연과학 > 자연과학,4036,https://image.aladin.co.kr/product/30224/42/cover/k502839203_1.jpg, https://data4library.kr/bookV?seq=6568400
114,115,115,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9791165383053,74910,19,911,역사 > 아시아(아세아) > 한국,4001,https://image.aladin.co.kr/product/28540/88/cover/k222835233_1.jpg, https://data4library.kr/bookV?seq=6365947
115,116,116,(흔한남매) 별난 방탈출 :탈출 미션 스토리북,흔한남매 원작 ;차차 그림,미래엔,2020,9791164137176,77810,1,691,"예술 > 오락, 운동 > 오락",3996,https://image.aladin.co.kr/product/25813/3/cover/k172736336_1.jpg, https://data4library.kr/bookV?seq=5833701
116,117,117,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9791188874293,74910,10,911,역사 > 아시아(아세아) > 한국,3986,https://image.aladin.co.kr/product/19007/0/cover/k242635997_1.jpg, https://data4library.kr/bookV?seq=5400516
117,118,118,낭만 강아지 봉봉,홍민정 글 ;김무연 그림,다산북스,2022,9791130679990,74810,1,813.7,문학 > 한국문학 > 소설,3982,https://image.aladin.co.kr/product/28963/14/cover/k832836617_1.jpg, https://data4library.kr/bookV?seq=6412733
118,119,119,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9791165382674,74910,14,911,역사 > 아시아(아세아) > 한국,3981,https://image.aladin.co.kr/product/24258/33/cover/k742630570_1.jpg, https://data4library.kr/bookV?seq=5686995
119,120,120,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9791165383114,74910,20,911,역사 > 아시아(아세아) > 한국,3973,https://image.aladin.co.kr/product/28952/11/cover/k692836418_1.jpg, https://data4library.kr/bookV?seq=6409042
120,121,121,(흔한남매) 안 흔한 일기,흔한남매 원작 ;조병주 그림,미래엔,2020,9791164136223,74810,3,816.7,"문학 > 한국문학 > 일기, 서간, 기행",3959,https://image.aladin.co.kr/product/25151/11/cover/k762633375_1.jpg, https://data4library.kr/bookV?seq=5769272
121,122,122,"(세상에서 가장 쉬운) 본질육아 :삶의 근본을 보여주는 부모, 삶을 스스로 개척하는 아이",지나영 지음,21세기북스(북이십일 21세기북스),2022,9788950941819,13590,,598.1,기술과학 > 가정학 및 가정생활 > 육아,3956,https://image.aladin.co.kr/product/30177/32/cover/8950941813_1.jpg, https://data4library.kr/bookV?seq=6563267
